date,pm10,pm2.5
1/01/2022,24.67,21.7
2/01/2022,21.4,17.53
3/01/2022,52.81,37.66
4/01/2022,55.91,40.04
5/01/2022,59.46,45.53
6/01/2022,39.41,33.64
7/01/2022,25.34,20.76
8/01/2022,15.73,14.88
9/01/2022,23.73,23.04
10/01/2022,10.04,9.64
11/01/2022,10.94,10.5
12/01/2022,14.99,13.45
13/01/2022,24.21,22.2
14/01/2022,27.61,20.57
15/01/2022,15.35,10.97
16/01/2022,27.53,23.6
17/01/2022,37.86,27.07
18/01/2022,14.12,7.09
19/01/2022,30.04,21
20/01/2022,83.88,41.7
21/01/2022,42.27,23.98
22/01/2022,8.79,6.18
23/01/2022,11.67,9.31
24/01/2022,15.33,13.78
25/01/2022,22.44,17.48
26/01/2022,30.56,17.38
27/01/2022,47.14,24.37
28/01/2022,80.14,36.95
29/01/2022,21.04,12.87
30/01/2022,30.21,24.46
31/01/2022,31.08,12.92
1/02/2022,14.15,11.78
2/02/2022,15.86,14.18
3/02/2022,14.96,9.95
4/02/2022,38.29,20.9
5/02/2022,62.33,42.95
6/02/2022,29.17,25.68
7/02/2022,59.2,41.39
8/02/2022,15.96,6.58
9/02/2022,17.63,8.71
10/02/2022,31.72,21.25
11/02/2022,44.84,34.51
12/02/2022,35.33,29.4
13/02/2022,20.82,15.56
14/02/2022,41.27,27.71
15/02/2022,39.95,29.64
16/02/2022,49.83,37.76
17/02/2022,35.85,31.81
18/02/2022,20.88,11.57
19/02/2022,28.09,14.8
20/02/2022,34.58,27.37
21/02/2022,38.65,28.79
22/02/2022,35.18,26.49
23/02/2022,35.1,25.1
24/02/2022,36.2,26.22
25/02/2022,29.7,19.76
26/02/2022,33.2,23.35
27/02/2022,32.4,22.43
28/02/2022,25.5,15.27
1/03/2022,24.6,14.38
2/03/2022,23.18,18.38
3/03/2022,33,25.01
4/03/2022,63.28,34.47
5/03/2022,17.19,15.87
6/03/2022,9.65,8.83
7/03/2022,18.79,16.46
8/03/2022,21.48,20.69
9/03/2022,30.18,27.15
10/03/2022,24.33,18.4
11/03/2022,22.31,14.86
12/03/2022,25.57,21.66
13/03/2022,28.36,23.54
14/03/2022,48.23,26.98
15/03/2022,74.24,32.79
16/03/2022,108.1,48.47
17/03/2022,52.58,37.82
18/03/2022,35.73,23.12
19/03/2022,41.29,29.59
20/03/2022,20.08,16.41
21/03/2022,56.8,28.38
22/03/2022,42.3,20.16
23/03/2022,30.43,15.22
24/03/2022,74.47,32.46
25/03/2022,49.6,23.69
26/03/2022,36.67,21.59
27/03/2022,48.16,36.45
28/03/2022,68.73,39.75
29/03/2022,67.38,43.97
30/03/2022,75.41,45.11
31/03/2022,84.85,44.82
1/04/2022,110.57,38.5
2/04/2022,49.46,10.2
3/04/2022,21.06,5.34
4/04/2022,39.7,12.34
5/04/2022,34.97,17.84
6/04/2022,47.91,25.38
7/04/2022,51.51,25.3
8/04/2022,55.34,25.56
9/04/2022,46.92,21.96
10/04/2022,36.48,14.48
11/04/2022,40.82,11.84
12/04/2022,24.64,10.22
13/04/2022,32.4,13.63
14/04/2022,44.79,21.4
15/04/2022,41.27,25.43
16/04/2022,51.32,26.67
17/04/2022,20.96,15.45
18/04/2022,6.17,5.6
19/04/2022,16.02,10.67
20/04/2022,93.47,20.49
21/04/2022,49.93,18.63
22/04/2022,35.15,27.82
23/04/2022,32.72,23.84
24/04/2022,38.91,23.92
25/04/2022,37.06,22.73
26/04/2022,66.15,19.24
27/04/2022,64.71,25.43
28/04/2022,73.5,28.4
29/04/2022,34.65,16.11
30/04/2022,25.71,20.83
1/05/2022,19.43,15.54
2/05/2022,18.85,13.78
3/05/2022,25.91,12.32
4/05/2022,85.38,20.02
5/05/2022,80.43,24.88
6/05/2022,52.9,23.1
7/05/2022,41.32,17.4
8/05/2022,24.18,14.6
9/05/2022,43.85,16.55
10/05/2022,46.76,14.98
11/05/2022,51.4,15.96
12/05/2022,52.18,20.03
13/05/2022,60.94,22.45
14/05/2022,44.56,21.74
15/05/2022,27.55,18.06
16/05/2022,51.84,24.44
17/05/2022,63.16,26.67
18/05/2022,94.06,19.67
19/05/2022,35.48,8.24
20/05/2022,65.57,14.53
21/05/2022,27.7,11.06
22/05/2022,21.73,9.64
23/05/2022,54.98,18.35
24/05/2022,72.09,25.45
25/05/2022,125.96,28.87
26/05/2022,47.44,21.04
27/05/2022,71.58,26.78
28/05/2022,61.29,28.48
29/05/2022,50.88,27.34
30/05/2022,29.18,14.13
31/05/2022,29.42,12.5
1/06/2022,23.43,11.42
2/06/2022,36.08,17.96
3/06/2022,33.64,14.12
4/06/2022,36.14,17.91
5/06/2022,36.2,16.53
6/06/2022,36.9,16.28
7/06/2022,23.49,13.53
8/06/2022,27.01,14.4
9/06/2022,53.35,20.62
10/06/2022,17.84,11.5
11/06/2022,11.09,6.24
12/06/2022,12.56,7.9
13/06/2022,15.46,9.22
14/06/2022,31.76,15.61
15/06/2022,30.65,11.9
16/06/2022,38.93,17.14
17/06/2022,66.02,20.28
18/06/2022,24.65,18.82
19/06/2022,13.01,8.05
20/06/2022,41.9,13.61
21/06/2022,50.61,18.32
22/06/2022,61.03,21.97
23/06/2022,59.71,22.66
24/06/2022,34.87,17.29
25/06/2022,29.49,15.37
26/06/2022,17.28,9.09
27/06/2022,39.38,15.45
28/06/2022,54.78,18.67
29/06/2022,34.54,11.25
30/06/2022,41.5,15.02
1/07/2022,37.51,16.04
2/07/2022,36.35,16.95
3/07/2022,23.97,13.49
4/07/2022,53,15.16
5/07/2022,23.47,9.64
6/07/2022,27.77,10.23
7/07/2022,25.69,7.6
8/07/2022,34.95,13.43
9/07/2022,7.87,6.78
10/07/2022,14.28,9.61
11/07/2022,11.78,4.84
12/07/2022,12.7,4.96
13/07/2022,17.92,5.25
14/07/2022,53.91,9.5
15/07/2022,65.05,14.97
16/07/2022,34.25,12.35
17/07/2022,22.6,11.12
18/07/2022,27.99,9.98
19/07/2022,36.53,12.37
20/07/2022,72.67,14.33
21/07/2022,64.49,15.25
22/07/2022,37,13.28
23/07/2022,29.87,16.17
24/07/2022,33.8,18.72
25/07/2022,31.76,15.9
26/07/2022,28.06,16.82
27/07/2022,34.71,16.33
28/07/2022,34.03,14.89
29/07/2022,30.28,13.04
30/07/2022,23.56,11.76
31/07/2022,18.68,9.28
1/08/2022,19.46,8.1
2/08/2022,28.84,8.56
3/08/2022,45.55,14.4
4/08/2022,42.81,15.15
5/08/2022,27.88,12.55
6/08/2022,33.13,13.04
7/08/2022,16.36,9.57
8/08/2022,29.64,10.75
9/08/2022,42.48,11.04
10/08/2022,43.12,12.86
11/08/2022,47.72,13.26
12/08/2022,23.41,12.96
13/08/2022,23.36,12.67
14/08/2022,12.2,9.68
15/08/2022,10,7.82
16/08/2022,26.84,11.35
17/08/2022,21.74,9.78
18/08/2022,47.23,14.88
19/08/2022,34.12,16.36
20/08/2022,42.06,18.8
21/08/2022,17.6,13.06
22/08/2022,21.74,13.52
23/08/2022,27.35,16.4
24/08/2022,20.04,15.23
25/08/2022,15.8,11
26/08/2022,33.48,15.38
27/08/2022,38.39,21.08
28/08/2022,34.59,19.84
29/08/2022,49.13,24.7
30/08/2022,31.52,17.96
31/08/2022,29.17,17.64
1/09/2022,36.5,18.66
2/09/2022,19.96,15.04
3/09/2022,17.43,11.66
4/09/2022,12.59,9.21
5/09/2022,23.29,13.63
6/09/2022,22.39,9.93
7/09/2022,20.7,11.96
8/09/2022,27.19,14.21
9/09/2022,27.76,14.01
10/09/2022,20.44,12.95
11/09/2022,15.81,9.98
12/09/2022,15.43,7.13
13/09/2022,14.02,7.2
14/09/2022,32.51,13.13
15/09/2022,40.3,15.45
16/09/2022,26.72,15.76
17/09/2022,28.94,16.09
18/09/2022,14.61,7.39
19/09/2022,23.83,6.63
20/09/2022,12.37,4.83
21/09/2022,8.23,4.7
22/09/2022,14.44,7.62
23/09/2022,18.19,9.37
24/09/2022,25.22,14.04
25/09/2022,27.7,15.71
26/09/2022,28.33,14.76
27/09/2022,21.9,12.53
28/09/2022,19.03,10.38
29/09/2022,23.18,10.09
30/09/2022,32.99,12.43
1/10/2022,25.01,12.12
2/10/2022,10.79,6.68
3/10/2022,23.48,9
4/10/2022,8.89,4.97
5/10/2022,18.26,9.47
6/10/2022,34.11,15.17
7/10/2022,36.26,15.19
8/10/2022,28.33,13.61
9/10/2022,23.44,14.97
10/10/2022,30.69,19.4
11/10/2022,44.39,26.05
12/10/2022,30.76,21.01
13/10/2022,22.24,12.96
14/10/2022,10.83,8.14
15/10/2022,24.77,13.04
16/10/2022,22.19,18.56
17/10/2022,48.07,25.46
18/10/2022,44.41,21.02
19/10/2022,48.34,23.88
20/10/2022,27.96,17.36
21/10/2022,25.55,17.3
22/10/2022,26.54,18.99
23/10/2022,25.06,17.63
24/10/2022,50.23,25.21
25/10/2022,40.53,28.92
26/10/2022,34.37,24.94
27/10/2022,40.86,26.93
28/10/2022,22.11,16.66
29/10/2022,30.32,20.27
30/10/2022,27.11,21.24
31/10/2022,39.22,22.01
1/11/2022,31.33,19.32
2/11/2022,61.66,33.28
3/11/2022,52.37,32.93
4/11/2022,58.23,41.29
5/11/2022,44.81,31.5
6/11/2022,8.56,7.15
7/11/2022,29.44,22.45
8/11/2022,50.5,37.66
9/11/2022,55.99,43.16
10/11/2022,57.18,41.07
11/11/2022,36.76,28.43
12/11/2022,14.43,11.86
13/11/2022,25.92,20.83
14/11/2022,40.28,30.28
15/11/2022,49.99,38.51
16/11/2022,35.76,29.92
17/11/2022,28.73,21.19
18/11/2022,28.86,21.07
19/11/2022,14.43,7.64
20/11/2022,12.2,8.37
21/11/2022,19.46,6.38
22/11/2022,18.05,9.86
23/11/2022,23.6,17.49
24/11/2022,31.39,14.16
25/11/2022,16.29,6.21
26/11/2022,12.98,10.04
27/11/2022,11.91,10.53
28/11/2022,14.79,13.5
29/11/2022,18.65,15.15
30/11/2022,8.11,6.52
1/12/2022,2.96,2.77
2/12/2022,31.06,19.06
3/12/2022,35.91,27.94
4/12/2022,15.37,13.06
5/12/2022,15.13,12.54
6/12/2022,29.43,19.99
7/12/2022,47.36,34.75
8/12/2022,53.96,40.25
9/12/2022,55.43,41.85
10/12/2022,42.11,36.58
11/12/2022,7.85,6.38
12/12/2022,28.95,12.4
13/12/2022,26.57,13.35
14/12/2022,24.84,18.31
15/12/2022,27.49,22.1
16/12/2022,44.5,32.55
17/12/2022,38.08,30
18/12/2022,22.28,18.08
19/12/2022,15.29,11.13
20/12/2022,39.73,19.11
21/12/2022,60.13,36.58
22/12/2022,70.39,47.99
23/12/2022,85.39,56.04
24/12/2022,59.98,51.01
25/12/2022,23.63,19.93
26/12/2022,34.38,29.53
27/12/2022,54.47,43.89
28/12/2022,47.45,33.62
29/12/2022,58.67,42.76
30/12/2022,56.34,45.48
31/12/2022,60.58,54.44
